pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante,reward,done
-57,65,-246,-265,-1,0,5.30698,0.077,0,0
-72,48,-252,-263,-1,0,4.82643,0.077,0,0
-81,38,-256,-267,-1,0,5.05787,0.059,0,0
-100,18,-245,-267,-1,0,8.13736,0.059,0,0
-109,6,-240,-274,-1,0,11.1236,0.059,0,0
-126,-11,-241,-276,-2,0,14.5012,0.045,0,0
120,-22,-238,-280,-2,0,6.00765,0.045,0,0
108,-37,-230,-281,-3,0,6.20507,0.031,0,0
97,-56,-222,-287,-3,0,7.68155,0.031,0,0
85,-66,-232,-283,-3,0,5.91261,0.031,0,0
65,-89,-241,-275,-5,0,2.8264,0.00700001,0,0
57,-101,-240,-278,-6,0,2.76123,0.00700001,0,0
40,-118,-243,-274,-6,0,0,-0.000999996,0,1
25,119,3,0,-10,0,-9.43798,0.012,0,0
25,119,0,-3,-12,0,-9.48447,0.012,0,0
24,119,-42,-126,-12,0,7.55207,0.117,0,0
11,107,-265,-242,-12,0,-9.0076,0.117,0,0
-3,96,-303,-287,-10,0,-7.71245,0.117,0,0
-25,72,-271,-278,-6,0,-3.51086,0.222,0,0
-38,60,-264,-245,-6,0,-5.41157,0.222,0,0
-59,42,-270,-241,-3,0,-3.56961,0.447,0,0
-72,30,-267,-245,-2,0,-1.35418,0.447,0,0
-83,14,-263,-252,-2,0,0.0683138,0.578,0,0
-100,4,-265,-252,-2,0,3.43444,0.578,0,0
-111,-7,-259,-260,-1,0,8.31813,0.578,0,0
-128,-24,-253,-262,-1,0,13.7737,0.628,0,0
117,-36,-244,-274,-1,0,5.22898,0.628,0,0
106,-49,-228,-284,-3,0,6.70466,0.646,0,0
96,-62,-198,-253,-2,0,7.08713,0.646,0,0
81,-80,-236,-277,-3,0,4.81375,0.629,0,0
63,-100,-255,-274,-3,0,2.63968,0.629,0,0
54,-110,-232,-273,-3,0,5.13262,0.629,0,0
38,127,-238,-278,-4,0,-0.278442,0.622,0,0
29,117,-244,-272,-4,0,-0.842259,0.622,0,0
15,102,-245,-272,-5,0,-1.45263,0.622,0,0
5,90,-258,-257,-5,0,-3.19167,0.622,0,0
-7,80,-264,-260,-5,0,-3.76488,0.622,0,0
-24,63,-261,-249,-5,0,-4.72068,0.622,0,0
-34,54,-266,-251,-5,0,-4.91162,0.622,0,0
-55,35,-267,-243,-5,0,-5.32703,0.578,0,0
-73,18,-276,-240,-5,0,-6.79944,0.578,0,0
-87,6,-274,-247,-4,0,-4.08215,0.579,0,0
-103,-9,-270,-244,-3,0,1.09701,0.579,0,0
-115,-20,-272,-244,-3,0,3.78011,0.579,0,0
122,-37,-274,-246,-3,0,-2.61178,0.235,0,0
112,-46,-252,-259,-2,0,1.91797,0.235,0,0
98,-61,-255,-254,-2,0,0.811876,0.235,0,0
83,-75,-260,-251,-2,0,-0.0138081,0.53,0,0
72,-86,-256,-263,-2,0,1.82175,0.53,0,0
59,-99,-251,-255,-2,0,1.62636,0.499,0,0
46,-113,-259,-261,-2,0,1.54298,0.499,0,0
34,124,-252,-261,-2,0,-0.500951,0.476,0,0
17,113,-249,-265,-2,0,0.0576154,0.476,0,0
2,98,-259,-258,-2,0,-1.10204,0.466,0,0
-15,81,-257,-253,-2,0,-1.79232,0.466,0,0
-29,66,-260,-251,-2,0,-2.13046,0.436,0,0
-45,52,-263,-252,-2,0,-1.74068,0.436,0,0
-57,40,-263,-251,-2,0,-1.26318,0.436,0,0
-85,13,-265,-250,-1,0,0.447026,0.409,0,0
-105,-4,-259,-251,-1,0,6.19451,0.401,0,0
-124,-24,-261,-256,-1,0,10.7395,0.401,0,0
105,-50,-256,-259,1,0,3.35938,0.377,0,0
84,-71,-276,-261,8,0,5.8341,0.361,0,0
61,-92,-257,-276,8,0,9.69442,0.361,0,0
51,-104,-232,-282,13,0,16.9993,0.34,0,0
33,-127,-215,-288,11,0,17.6522,0.34,0,0
25,118,-217,-285,9,0,10.9662,0.34,0,0
13,102,-216,-282,9,0,11.502,0.323,0,0
4,90,-208,-299,7,0,13.0102,0.323,0,0
-9,70,-206,-307,5,0,13.2413,0.306,0,0
-23,50,-219,-290,3,0,9.6153,0.306,0,0
-35,34,-217,-293,2,0,9.69217,0.287,0,0
-48,18,-228,-290,2,0,8.46336,0.287,0,0
-57,7,-237,-284,1,0,6.30207,0.287,0,0
-71,-12,-234,-291,0,0,7.26923,0.27,0,0
-80,-21,-232,-281,0,0,6.49489,0.27,0,0
-88,-32,-233,-277,-1,0,5.36394,0.27,0,0
-104,-49,-244,-269,-2,0,4.72835,0.247,0,0
-113,-59,-242,-274,-2,0,6.57299,0.247,0,0
-123,-72,-243,-275,-3,0,7.3783,0.234,0,0
118,-89,-240,-274,-3,0,4.68777,0.234,0,0
108,-101,-243,-275,-3,0,4.60603,0.234,0,0
88,-122,-245,-272,-3,0,4.27828,0.205,0,0
79,124,-244,-275,-4,0,-1.80571,0.205,0,0
