pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
13,60,-326,-297,-4,-0.277778,-1.81818,0.341
-5,46,-373,-305,-7,-1.11111,-6.80481,0.314
-24,30,-364,-294,-18,-4.16667,-21.2415,0.314
-51,7,-307,-279,-17,-3.88889,-20.106,0.287
-64,-4,-300,-218,-16,-3.61111,-18.9516,0.287
-81,-17,-296,-191,-16,-3.61111,-18.9516,0.279
-96,-27,-312,-197,-14,-3.05556,-16.5345,0.279
-117,-40,-318,-207,-12,-2.5,-13.99,0.241
124,-50,-320,-214,-10,-1.94444,-11.254,0.241
104,-62,-317,-222,-8,-1.38889,-8.35758,0.241
83,-79,-317,-237,-5,-0.555556,-3.55942,0.233
67,-92,-321,-258,-5,-0.555556,-3.55942,0.233
47,-107,-314,-260,-3,0,0,0.207
34,-118,-316,-268,-2,0.277778,1.81818,0.207
13,121,-320,-298,-2,0.277778,1.81818,0.179
-4,102,-309,-319,-1,0.555556,3.55942,0.179
-17,86,-293,-344,-1,0.555556,3.55942,0.179
-35,69,-310,-331,-32,-8.05556,-35.0802,0.171
-52,47,-236,-314,-32,-8.05556,-35.0802,0.171
-70,25,-237,-300,-64,-16.9444,-64.0236,0.249
-79,14,-203,-274,-64,-16.9444,-64.0236,0.249
-93,4,-387,-133,-93,-25,-75,0.249
-119,-4,-395,-128,-93,-25,-75,0.113
118,-9,-326,-57,-89,-23.8889,-75,0.113
104,-10,-316,-33,-82,-21.9444,-75,0.176
82,-10,-310,-12,-82,-21.9444,-75,0.176
68,-12,-309,-24,-74,-19.7222,-73.9619,0.198
49,-14,-316,-49,-71,-18.8889,-70.9055,0.198
27,-18,-315,-48,-71,-18.8889,-70.9055,0.19
7,-21,-313,-47,-65,-17.2222,-64.9787,0.19
-9,-23,-316,-48,-60,-15.8333,-60.2182,0.171
-25,-26,-316,-53,-55,-14.4444,-55.5669,0.171
-40,-29,-310,-69,-50,-13.0556,-51.0306,0.171
-65,-34,-313,-76,-50,-13.0556,-51.0306,0.176
-76,-37,-312,-89,-44,-11.3889,-45.6629,0.176
-99,-44,-317,-95,-44,-11.3889,-45.6629,0.148
-110,-47,-309,-101,-40,-10.2778,-42.1515,0.148
-125,-55,-319,-118,-36,-9.16667,-38.6429,0.136
109,-61,-322,-119,-36,-9.16667,-38.6429,0.136
93,-68,-313,-128,-31,-7.77778,-34.1744,0.176
69,-78,-316,-135,-28,-6.94444,-31.4037,0.176
56,-84,-311,-143,-23,-5.55556,-26.549,0.176
37,-92,-319,-146,-23,-5.55556,-26.549,0.113
21,-100,-315,-152,-20,-4.72222,-23.4314,0.113
3,-112,-303,-125,-10,-1.94444,-11.254,0.087
-31,-125,-351,-195,7,2.77778,15.2774,0.078
-67,108,-317,-277,35,10.5556,43.0236,0.078
-95,84,-282,-285,64,18.6111,69.8828,0.44
-123,61,-230,-357,98,28.0556,75,0.44
114,27,-99,-320,123,35,75,0.445
107,4,-71,-358,125,35.5556,75,0.445
104,-12,-54,-315,125,35.5556,75,0.445
102,-30,-39,-305,122,34.7222,75,0.422
101,-44,-36,-318,122,34.7222,75,0.422
101,-62,-8,-315,115,32.7778,75,0.386
99,-84,-32,-315,115,32.7778,75,0.386
97,-96,-52,-319,107,30.5556,75,0.386
94,-115,-55,-317,107,30.5556,75,0.37
92,123,-44,-315,100,28.6111,75,0.37
89,102,-41,-313,100,28.6111,75,0.349
87,88,-39,-317,93,26.6667,75,0.349
85,68,-39,-316,86,24.7222,75,0.34
82,50,-40,-309,86,24.7222,75,0.34
80,36,-44,-317,79,22.7778,75,0.34
76,7,-43,-312,72,20.8333,75,0.333
73,-10,-44,-308,72,20.8333,75,0.333
71,-28,-41,-316,65,18.8889,70.9055,0.331
69,-48,-40,-314,65,18.8889,70.9055,0.331
67,-60,-40,-314,65,18.8889,70.9055,0.331
64,-82,-53,-317,58,16.9444,64.0236,0.377
61,-101,-52,-326,51,15,57.4262,0.377
57,-116,-60,-314,45,13.3333,51.9261,0.171
54,124,-66,-311,45,13.3333,51.9261,0.171
52,112,-74,-317,38,11.3889,45.6629,0.14
45,90,-99,-318,38,11.3889,45.6629,0.14
39,70,-113,-317,38,11.3889,45.6629,0.14
31,50,-120,-314,32,9.72222,40.4012,0.101
26,37,-121,-314,27,8.33333,35.9781,0.101
19,16,-125,-315,22,6.94444,31.4037,0.071
12,3,-128,-308,19,6.11111,28.5334,0.071
5,-19,-156,-307,17,5.55556,26.549,0.045
-9,-41,-157,-307,13,4.44444,22.3542,0.045
-17,-56,-169,-315,13,4.44444,22.3542,0.045
-29,-77,-178,-315,13,4.44444,22.3542,0.023
