pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
-108,-111,-311,-319,1,0.277778,1.81818,0.612
127,124,-300,-317,2,0.555556,3.55942,0.6
111,109,-298,-307,2,0.555556,3.55942,0.6
96,93,-291,-309,1,0.277778,1.81818,0.571
82,77,-289,-319,1,0.277778,1.81818,0.571
70,63,-286,-311,1,0.277778,1.81818,0.554
52,44,-286,-312,1,0.277778,1.81818,0.554
40,31,-294,-318,1,0.277778,1.81818,0.554
20,10,-289,-317,0,0,0,0.535
10,-2,-289,-316,0,0,0,0.535
-12,-27,-292,-314,0,0,0,0.511
-38,-53,-305,-315,-1,-0.277778,-1.81818,0.511
-68,-83,-316,-318,-1,-0.277778,-1.81818,0.489
-95,-113,-317,-316,-1,-0.277778,-1.81818,0.459
116,101,-309,-294,0,0,0,0.441
93,81,-314,-295,0,0,0,0.441
62,49,-315,-304,0,0,0,0.421
43,33,-314,-307,1,0.277778,1.81818,0.401
22,12,-321,-321,1,0.277778,1.81818,0.401
4,-8,-317,-314,1,0.277778,1.81818,0.382
-16,-27,-315,-312,2,0.555556,3.55942,0.382
-33,-42,-298,-309,2,0.555556,3.55942,0.361
-52,-63,-291,-313,1,0.277778,1.81818,0.361
-65,-77,-286,-313,1,0.277778,1.81818,0.361
-77,-90,-282,-312,1,0.277778,1.81818,0.35
-95,-110,-284,-312,1,0.277778,1.81818,0.35
-113,126,-293,-320,0,0,0,0.338
126,108,-291,-320,0,0,0,0.338
115,95,-292,-311,0,0,0,0.338
94,75,-312,-317,-1,-0.277778,-1.81818,0.293
84,64,-312,-318,0,0,0,0.293
63,43,-317,-307,0,0,0,0.275
48,28,-319,-305,0,0,0,0.275
31,5,-312,-309,0,0,0,0.247
4,-15,-319,-319,0,0,0,0.247
-14,-36,-317,-317,0,0,0,0.222
-32,-51,-315,-314,0,0,0,0.222
-46,-65,-314,-319,0,0,0,0.222
-64,-85,-315,-315,0,0,0,0.199
-83,-102,-313,-310,0,0,0,0.199
-99,-121,-318,-317,0,0,0,0.18
-121,115,-319,-316,0,0,0,0.18
116,97,-313,-316,1,0.277778,1.81818,0.171
96,77,-315,-315,1,0.277778,1.81818,0.171
82,63,-313,-311,1,0.277778,1.81818,0.171
64,43,-294,-311,1,0.277778,1.81818,0.138
47,24,-292,-312,1,0.277778,1.81818,0.109
22,1,-293,-318,1,0.277778,1.81818,0.109
11,-13,-288,-311,0,0,0,0.109
-6,-31,-296,-315,0,0,0,0.086
-20,-47,-299,-317,0,0,0,0.086
-36,-66,-306,-321,-1,-0.277778,-1.81818,0.071
-58,-85,-319,-317,-1,-0.277778,-1.81818,0.071
-74,-101,-315,-295,0,0,0,0.045
-98,-123,-315,-295,0,0,0,0.045
-120,110,-314,-311,0,0,0,0.024
117,93,-316,-313,0,0,0,0.024
94,68,-313,-318,0,0,0,0.006
72,48,-318,-313,1,0.277778,1.81818,0.006
56,33,-319,-316,1,0.277778,1.81818,0.006
-9,-35,3,0,-14,-3.88889,-20.106,0.029
-9,-35,0,0,-32,-8.88889,-37.7596,0.029
-11,-35,-23,0,-36,-10,-41.2785,0.029
-20,-39,-296,-146,-37,-10.2778,-42.1515,0.029
-44,-49,-354,-111,-43,-11.9444,-47.4405,0.176
-62,-55,-297,-107,-49,-13.6111,-52.8332,0.176
-76,-62,-290,-134,-47,-13.0556,-51.0306,0.384
-100,-71,-360,-136,-47,-13.0556,-51.0306,0.384
-116,-77,-316,-112,-45,-12.5,-49.2201,0.176
120,-83,-296,-88,-42,-11.6667,-46.5476,0.176
102,-89,-312,-90,-39,-10.8333,-43.9059,0.176
86,-93,-305,-103,-35,-9.72222,-40.4012,0.176
71,-99,-304,-108,-35,-9.72222,-40.4012,0.176
57,-105,-307,-116,-31,-8.61111,-36.8703,0.405
33,-113,-306,-122,-27,-7.5,-33.2604,0.405
15,-121,-321,-135,-24,-6.66667,-30.4597,0.059
